question,answer,abs_id,Inquiry Type,Extra Condition,Investigation Target,biocategory,biosubcategory
"In the context of the system I cytochrome c biogenesis pathway in Escherichia coli, is the CcmD polypeptide required for the CcmC-dependent transfer of heme to CcmE within the periplasmic space?",No,PMID:18326572,Normal,Natural,Interaction,Environmental Information Processing,Membrane transport
"In the context of adult T-cell leukemia (ATL) and human T-cell leukemia virus type 1 (HTLV-1) infection, is matrix metalloproteinase-7 (MMP-7) expressed in T-cell lines that are not infected with HTLV-1?",No,PMID:21315773,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of Escherichia coli's de novo pyridoxal 5'-phosphate (PLP) biosynthetic pathway, can the enzyme PdxJ form pyridoxine 5'-phosphate (PNP) when incubated with PdxA, 4-(phosphohydroxy)-L-threonine, NAD, and 1-deoxy-D-xylulose, rather than 1-deoxy-D-xylulose-5-phosphate?",No,PMID:10225425,Normal,Natural,Single,Metabolism,Metabolism of cofactors and vitamins
"In the context of juxtaglomerular (JG) cell function and the regulation of extracellular fluid volume and arterial blood pressure, does the bioactive octapeptide angiotensin II exert a stimulatory effect on the synthesis of the aspartyl protease renin?",No,PMID:22258323,Normal,Natural,Single,Organismal Systems,Endocrine system
"In the context of the Trypanosoma cruzi parasite, does the calreticulin protein (TcCRT) inhibit the generation of classical pathway convertases and membrane attack complexes through its interaction with the collagenous portion of C1q in the human complement system?",Yes,PMID:16238097,Normal,Natural,Function,Human Diseases,Infectious disease: parasitic
"In BJAB cells, does the expression of the KSHV-encoded K5 protein lead to a reduction in the surface expression of the B7-1 protein, which plays a role in immune recognition and activation?",No,PMID:11413168,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In human mononuclear phagocytes, does infection with Leishmania donovani result in impaired gamma interferon-mediated tyrosine phosphorylation of the Janus kinase Jak1?",Yes,PMID:7591091,Normal,Natural,Single,Human Diseases,Infectious disease: parasitic
"In the context of the human herpes virus 6 (HHV-6)-encoded chemokine receptor U51, does CCL2/MCP-1 induce an increase in intracellular free calcium concentration ([Ca2+]i)?",No,PMID:16332987,Normal,Natural,Single,Environmental Information Processing,Signaling molecules and interaction
"In the context of actin polymerization in invadopodia, does the phosphorylation of tyrosine residue 482 on cortactin play a crucial role in the recruitment of Nck1 to invadopodia through its Src homology 2 (SH2) domain?",No,PMID:20971703,Normal,Natural,Interaction,,
"In the context of condensin I's role in mitotic chromosome assembly and segregation, does phosphorylation by the CK2 kinase lead to an increase in the supercoiling activity of condensin I?",No,PMID:17066080,Normal,Natural,Single,Human Diseases,Drug resistance: antimicrobial
"In the context of efferocytosis by mouse-resident peritoneal macrophages, do apoptotic cells stimulate the phosphorylation of the signal transducer and activator of transcription 5 (STAT5) protein as part of the signaling cascade mediated by the myeloid cell-associated protein tyrosine kinase MERTK?",No,PMID:30846565,Normal,Natural,Single,Cellular Processes,Transport and catabolism
"In the context of UDP-L-rhamnose biosynthesis, does the N-terminal region of the RHM2 protein (RHM2-N) exhibit inhibited enzymatic activity in the presence of UDP-D-xylose?",Yes,PMID:17190829,Normal,Natural,Single,Metabolism,Carbohydrate metabolism
"In the context of rat prostatic spermine synthase activity, does sym-norspermidine exhibit a high level of activity as an amine acceptor of the propylamine group, when compared to other compounds such as 1,8-diamino-octane, sym-homospermidine, and N-(3-aminopropyl)-cadaverine?",No,PMID:6798961,Normal,Natural,Single,Metabolism,Metabolism of other amino acids
"In patients undergoing thiopurine treatment for inflammatory bowel disease (IBD), does a deficiency in thiopurine methyltransferase (TPMT) enzyme activity significantly increase the risk of life-threatening myelotoxicity?",Yes,PMID:16048561,Normal,Natural,Function,Metabolism,Xenobiotics biodegradation and metabolism
